English,Hindi,Gujarati,Marathi
The Earth revolves around the Sun.,पृथ्वी सूर्य के चारों ओर घूमती है।,પૃથ્વી સૂર્યની આજુબાજુ ફરે છે.,पृथ्वी सूर्याभोवती फिरते.
Water boils at 100 degrees Celsius.,पानी 100 डिग्री सेल्सियस पर उबलता है।,પાણી 100 ડિગ્રી સેલ્સિયસ પર ઉકળે છે.,पाणी 100 अंश सेल्सियस तापमानाला उकळते.
Mahatma Gandhi led the freedom movement in India.,महात्मा गांधी ने भारत में स्वतंत्रता आंदोलन का नेतृत्व किया।,મહાત્મા ગાંધી એ ભારતના સ્વતંત્રતા આંદોલનનું નેતૃત્વ કર્યું.,महात्मा गांधींनी भारताच्या स्वातंत्र्य चळवळीचे नेतृत्व केले.
The Pythagorean theorem states that a² + b² = c².,पाइथागोरस प्रमेय कहती है कि a² + b² = c²।,પાઈથાગોરસ સિદ્ધાંત કહે છે કે a² + b² = c².,पायथागोरसचा सिद्धांत सांगतो की a² + b² = c².
Shakespeare wrote many famous plays.,शेक्सपियर ने कई प्रसिद्ध नाटक लिखे।,શેક્સપિયર એ ઘણા પ્રસિદ્ધ નાટકો લખ્યા.,शेक्सपियरने अनेक प्रसिद्ध नाटके लिहिली.
Photosynthesis is the process by which plants make food.,प्रकाश संश्लेषण वह प्रक्रिया है जिससे पौधे भोजन बनाते हैं।,પ્રકાશ સંશ્લેષણ એ પ્રક્રિયા છે જેના દ્વારા વનસ્પતિઓ ખોરાક બનાવે છે.,प्रकाशसंश्लेषण ही वनस्पती अन्न तयार करण्याची प्रक्रिया आहे.
The human body has 206 bones.,मानव शरीर में 206 हड्डियाँ होती हैं।,માનવ શરીરમાં 206 હાડકાં હોય છે.,मानवी शरीरात 206 हाडे असतात.
Newton's laws explain the motion of objects.,न्यूटन के नियम वस्तुओं की गति को समझाते हैं।,ન્યુટનનાં નિયમો વસ્તુઓની ગતિને સમજાવે છે.,न्यूटनचे नियम वस्तूंची गती स्पष्ट करतात.
The capital of India is New Delhi.,भारत की राजधानी नई दिल्ली है।,ભારતની રાજધાની નવી દિલ્હી છે.,भारताची राजधानी नवी दिल्ली आहे.
Electrons are negatively charged particles.,इलेक्ट्रॉन नकारात्मक रूप से आवेशित कण होते हैं।,ઇલેક્ટ્રોન્સ ઋણ ચાર્જ ધરાવતા કણો છે.,इलेक्ट्रॉन्स नकारात्मक आवेशित कण असतात.
The Taj Mahal is a symbol of love.,ताज महल प्रेम का प्रतीक है।,તાજ મહેલ પ્રેમનું પ્રતીક છે.,ताजमहाल प्रेमाचे प्रतीक आहे.
A verb is an action word in a sentence.,क्रिया एक वाक्य में क्रिया शब्द होता है।,ક્રિયા એક વાક્યમાં ક્રિયાપદ છે.,क्रियापद हे वाक्यातील क्रियाशब्द आहे.
The Indus Valley Civilization was one of the earliest urban cultures.,सिंधु घाटी सभ्यता प्रारंभिक शहरी संस्कृतियों में से एक थी।,સિંધુ ખીણ સંસ્કૃતિ પ્રથમ શહેરી સંસ્કૃતિઓમાંની એક હતી.,सिंधू संस्कृती ही प्राचीन शहरी संस्कृतींपैकी एक होती.
A triangle has three sides.,एक त्रिभुज में तीन भुजाएँ होती हैं।,ત્રિકોણમાં ત્રણ બાજુઓ હોય છે.,त्रिकोणाला तीन बाजू असतात.
Water is essential for all living beings.,पानी सभी जीवित प्राणियों के लिए आवश्यक है।,પાણી તમામ જીવંત જીવો માટે આવશ્યક છે.,पाणी सर्व सजीवांसाठी आवश्यक आहे.
The brain controls the functions of the human body.,मस्तिष्क मानव शरीर के कार्यों को नियंत्रित करता है।,મગજ માનવ શરીરના કાર્યોને નિયંત્રિત કરે છે.,मेंदू मानवी शरीराचे कार्य नियंत्रित करतो.
The Himalayas are the highest mountain range in the world.,हिमालय दुनिया की सबसे ऊँची पर्वत श्रृंखला है।,હિમાલય વિશ્વની સૌથી ઊંચી પર્વત શ્રેણી છે.,हिमालय ही जगातील सर्वात उंच पर्वतरांग आहे.
Democracy is a form of government by the people.,लोकतंत्र जनता द्वारा संचालित सरकार का एक रूप है।,પ્રજાસત્તાક એ લોકો દ્વારા સંચાલિત શાસન પ્રણાલી છે.,लोकशाही ही लोकांच्या द्वारे चालवली जाणारी शासनपद्धती आहे.
The periodic table organizes elements based on their properties.,आवर्त सारणी तत्वों को उनकी विशेषताओं के आधार पर व्यवस्थित करती है।,આવર્ત કોષ્ટક તત્વોને તેમની ગુણધર્મોના આધારે ગોઠવે છે.,आवर्त सारणी तत्त्वांना त्यांच्या गुणधर्मांनुसार संघटित करते.
Gravity is the force that pulls objects toward the Earth.,गुरुत्वाकर्षण वह बल है जो वस्तुओं को पृथ्वी की ओर खींचता है।,ગુરુત્વાકર્ષણ એ શક્તિ છે જે વસ્તુઓને પૃથ્વી તરફ ખેંચે છે.,गुरुत्वाकर्षण हे पृथ्वीच्या दिशेने वस्तूंना आकर्षित करणारे बल आहे.
